Time,Price,RSI,Pattern,AI_Conf,Action
2026-01-18 18:38:38,95020.2,41.70539062219989,None,0.56,WAIT
2026-01-18 18:38:53,95020.2,41.70539062219989,None,0.56,WAIT
2026-01-18 18:39:09,94999.9,40.16772666496992,None,0.55,WAIT
2026-01-18 18:39:24,94999.9,40.16772666496992,None,0.55,WAIT
2026-01-18 18:39:39,94999.9,40.16772666496992,None,0.55,WAIT
2026-01-18 18:39:54,94999.9,40.16772666496992,None,0.55,WAIT
2026-01-18 18:40:09,94992.9,39.663458187801204,None,0.57,WAIT
2026-01-18 18:40:25,94992.9,39.663458187801204,None,0.57,WAIT
2026-01-18 18:40:40,94992.9,39.663458187801204,None,0.57,WAIT
2026-01-18 18:40:55,94992.9,39.663458187801204,None,0.57,WAIT
2026-01-18 18:41:10,95000.0,40.17502341287392,None,0.55,WAIT
2026-01-18 18:41:25,95000.0,40.17502341287392,None,0.55,WAIT
2026-01-18 18:41:40,95000.0,40.17502341287392,None,0.55,WAIT
2026-01-18 18:41:56,95000.0,40.17502341287392,None,0.55,WAIT
2026-01-18 18:42:11,95001.3,40.270122948615544,None,0.55,WAIT
2026-01-18 18:42:26,95001.3,40.270122948615544,None,0.55,WAIT
2026-01-18 18:42:41,95001.3,40.270122948615544,None,0.55,WAIT
2026-01-18 18:42:56,95001.3,40.270122948615544,None,0.55,WAIT
2026-01-18 18:43:11,94999.0,40.102175012989235,None,0.55,WAIT
2026-01-18 18:43:27,94999.0,40.102175012989235,None,0.55,WAIT
2026-01-18 18:43:42,94999.0,40.102175012989235,None,0.55,WAIT
2026-01-18 18:43:57,94998.9,40.09490470073296,None,0.55,WAIT
2026-01-18 18:44:13,94998.9,40.09490470073296,None,0.55,WAIT
2026-01-18 18:44:28,94998.9,40.09490470073296,None,0.55,WAIT
2026-01-18 18:44:43,94998.9,40.09490470073296,None,0.55,WAIT
2026-01-18 18:44:58,95000.6,40.21885963225817,None,0.55,WAIT
2026-01-18 18:45:13,95000.6,40.21922894387537,None,0.55,WAIT
2026-01-18 18:45:29,95000.6,40.21922894387537,None,0.55,WAIT
2026-01-18 18:45:44,95000.6,40.21922894387537,None,0.55,WAIT
2026-01-18 18:45:59,94995.1,39.79062337783408,None,0.56,WAIT
2026-01-18 18:46:14,94995.1,39.79062337783408,None,0.56,WAIT
2026-01-18 18:46:30,94995.1,39.79062337783408,None,0.56,WAIT
2026-01-18 18:46:45,94995.1,39.79062337783408,None,0.56,WAIT
2026-01-18 18:47:00,94998.8,40.0779451573441,None,0.55,WAIT
2026-01-18 18:47:15,94998.8,40.0779451573441,None,0.55,WAIT
2026-01-18 18:47:30,94998.8,40.0779451573441,None,0.55,WAIT
2026-01-18 18:47:46,94998.8,40.0779451573441,None,0.55,WAIT
2026-01-18 18:48:01,94999.4,40.12492933298376,None,0.55,WAIT
2026-01-18 18:48:16,94999.4,40.12492933298376,None,0.55,WAIT
2026-01-18 18:48:31,94999.4,40.12492933298376,None,0.55,WAIT
2026-01-18 18:48:46,94999.4,40.12492933298376,None,0.55,WAIT
2026-01-18 18:49:01,94993.5,39.66764810030225,None,0.56,WAIT
2026-01-18 18:49:17,94993.5,39.66764810030225,None,0.56,WAIT
2026-01-18 18:49:32,94993.5,39.66764810030225,None,0.56,WAIT
2026-01-18 18:49:47,94993.5,39.66764810030225,None,0.56,WAIT
2026-01-18 18:50:02,94962.3,37.412924369979514,None,0.59,WAIT
2026-01-18 18:50:17,94962.3,37.412924369979514,None,0.59,WAIT
2026-01-18 18:50:33,94962.3,37.412924369979514,None,0.59,WAIT
2026-01-18 18:50:48,94962.3,37.412924369979514,None,0.59,WAIT
2026-01-18 18:51:03,94958.9,37.182609977566756,None,0.59,WAIT
2026-01-18 18:51:18,94958.9,37.182609977566756,None,0.59,WAIT
2026-01-18 18:51:33,94958.9,37.182609977566756,None,0.59,WAIT
2026-01-18 18:51:49,94958.9,37.182609977566756,None,0.59,WAIT
2026-01-18 18:52:04,94886.5,32.87334702668929,None,0.6,WAIT
2026-01-18 18:52:19,94886.5,32.87334702668929,None,0.6,WAIT
2026-01-18 18:52:34,94886.5,32.87334702668929,None,0.6,WAIT
2026-01-18 18:52:49,94886.5,32.87334702668929,None,0.6,WAIT
2026-01-18 18:53:05,94892.5,33.19214172088482,None,0.6,WAIT
2026-01-18 18:53:20,94892.5,33.19214172088482,None,0.6,WAIT
2026-01-18 18:53:35,94892.5,33.19214172088482,None,0.6,WAIT
2026-01-18 18:53:50,94892.5,33.19214172088482,None,0.6,WAIT
2026-01-18 18:54:05,94900.0,33.59943680759763,None,0.6,WAIT
2026-01-18 18:54:21,94900.0,33.59943680759763,None,0.6,WAIT
2026-01-18 18:54:36,94900.0,33.59943680759763,None,0.6,WAIT
2026-01-18 18:54:51,94900.0,33.59943680759763,None,0.6,WAIT
2026-01-18 18:55:06,94909.1,34.107246141559614,None,0.6,WAIT
2026-01-18 18:55:21,94909.1,34.107246141559614,None,0.6,WAIT
2026-01-18 18:55:37,94909.1,34.107246141559614,None,0.6,WAIT
2026-01-18 18:55:52,94909.1,34.107246141559614,None,0.6,WAIT
2026-01-18 18:56:07,94855.7,31.3287393324094,None,0.61,WAIT
2026-01-18 18:56:22,94855.7,31.3287393324094,None,0.61,WAIT
2026-01-18 18:56:37,94855.7,31.3287393324094,None,0.61,WAIT
2026-01-18 18:56:53,94855.7,31.3287393324094,None,0.61,WAIT
2026-01-18 18:57:08,94886.4,32.86808565518558,None,0.61,WAIT
2026-01-18 18:57:23,94886.4,32.86808565518558,None,0.61,WAIT
2026-01-18 18:57:38,94886.4,32.86808565518558,None,0.61,WAIT
2026-01-18 18:57:53,94886.4,32.86808565518558,None,0.61,WAIT
2026-01-18 18:58:09,94909.5,34.1299198495351,None,0.61,WAIT
2026-01-18 18:58:24,94909.5,34.1299198495351,None,0.61,WAIT
2026-01-18 18:58:39,94909.5,34.1299198495351,None,0.61,WAIT
2026-01-18 18:58:54,94909.5,34.1299198495351,None,0.61,WAIT
2026-01-18 18:59:09,94909.1,34.107246141559614,None,0.61,WAIT
2026-01-18 18:59:24,94909.1,34.107246141559614,None,0.61,WAIT
2026-01-18 18:59:40,94909.1,34.107246141559614,None,0.61,WAIT
2026-01-18 18:59:55,94909.1,34.107246141559614,None,0.61,WAIT
2026-01-18 19:00:10,94925.4,35.05658835150467,None,0.61,WAIT
2026-01-18 19:00:25,94925.4,35.05658835150467,None,0.61,WAIT
2026-01-18 19:00:40,94925.4,35.05658835150467,None,0.61,WAIT
2026-01-18 19:00:56,94925.4,35.05658835150467,None,0.61,WAIT
2026-01-18 19:01:11,94924.4,34.992259329267426,Hammer,0.54,WAIT
2026-01-18 19:01:26,94924.4,34.992259329267426,Hammer,0.54,WAIT
2026-01-18 19:01:41,94924.4,34.992259329267426,Hammer,0.54,WAIT
2026-01-18 19:01:56,94924.4,34.992259329267426,Hammer,0.54,WAIT
2026-01-18 19:02:12,94911.0,34.15248157590207,None,0.6,WAIT
2026-01-18 19:02:27,94911.0,34.15248157590207,None,0.6,WAIT
2026-01-18 19:02:42,94911.0,34.15248157590207,None,0.6,WAIT
2026-01-18 19:02:57,94905.5,33.81935020555066,None,0.6,WAIT
2026-01-18 19:03:13,94905.5,33.81935020555066,None,0.6,WAIT
2026-01-18 19:03:28,94905.5,33.81935020555066,None,0.6,WAIT
2026-01-18 19:03:43,94905.5,33.81935020555066,None,0.6,WAIT
2026-01-18 19:03:58,94910.1,34.097520794934425,None,0.6,WAIT
2026-01-18 19:04:13,94910.1,34.097520794934425,None,0.6,WAIT
2026-01-18 19:04:29,94910.1,34.097520794934425,None,0.6,WAIT
2026-01-18 19:04:44,94910.1,34.097520794934425,None,0.6,WAIT
2026-01-18 19:07:18,94944.1,0.58,0.6,WAIT
2026-01-18 19:07:34,94944.1,0.58,0.59,WAIT
2026-01-18 19:07:50,94944.1,0.58,0.6,WAIT
2026-01-18 19:08:06,94956.3,0.55,0.17,WAIT
2026-01-18 19:08:23,94956.3,0.55,0.13,WAIT
2026-01-18 19:08:38,94956.3,0.55,0.05,WAIT
2026-01-18 19:08:54,94956.3,0.55,-0.24,WAIT
2026-01-18 19:09:07,94926.2,0.59,-0.27,WAIT
2026-01-18 19:09:23,94926.2,0.59,-0.22,WAIT
2026-01-18 19:09:39,94926.2,0.59,-0.06,WAIT
2026-01-18 19:09:54,94926.2,0.59,0.4,WAIT
2026-01-18 19:10:10,94936.8,0.59,0.59,WAIT
2026-01-18 19:10:26,94936.8,0.59,0.16,WAIT
2026-01-18 19:10:42,94936.8,0.59,-0.39,WAIT
2026-01-18 19:10:58,94936.8,0.59,0.49,WAIT
2026-01-18 19:11:13,95106.6,0.48,0.21,WAIT
2026-01-18 19:11:29,95106.6,0.48,0.31,WAIT
2026-01-18 19:11:45,95106.6,0.48,-0.04,WAIT
2026-01-18 19:12:02,95109.8,0.48,-0.3,WAIT
2026-01-18 19:12:18,95109.8,0.48,0.06,WAIT
2026-01-18 19:12:39,95109.8,0.48,0.27,WAIT
2026-01-18 19:12:55,95109.8,0.48,0.24,WAIT
2026-01-18 19:13:11,95130.4,0.46,0.45,WAIT
2026-01-18 19:13:26,95130.4,0.46,0.31,WAIT
2026-01-18 19:13:42,95130.4,0.46,-0.14,WAIT
2026-01-18 19:13:58,95117.2,0.48,-0.26,WAIT
2026-01-18 19:14:17,95117.2,0.48,-0.35,WAIT
2026-01-18 19:14:33,95117.2,0.48,-0.12,WAIT
2026-01-18 19:17:07,95156.8,0.45,0.6,WAIT
2026-01-18 19:17:23,95156.8,0.45,0.4,WAIT
2026-01-18 19:17:39,95156.8,0.45,0.06,WAIT
2026-01-18 19:23:20,95116.5,0.53,-0.51,WAIT
2026-01-18 19:23:36,95114.5,0.53,-0.47,WAIT
2026-01-18 19:23:52,95114.5,0.53,-0.14,WAIT
